A,,"The first letter of the English and of many other alphabets. The capital A of the alphabets of Middle and Western Europe, as also the small letter (a), besides the forms in Italic, black letter, etc., are all descended from the old Latin A, which was borrowed from the Greek Alpha, of the same form; and this was made from the first letter (/) of the Phoenician alphabet, the equivalent of the Hebrew Aleph, and itself from the Egyptian origin. The Aleph was a consonant letter, with a guttural breath sound that was not an element of Greek articulation; and the Greeks took it to represent their vowel Alpha with the a sound, the Phoenician alphabet having no vowel symbols."
Abaculi,pl. ,of Abaculus
Abandoned,a.,"Forsaken, deserted."
Abatable,a.,"Capable of being abated; as, an abatable writ or nuisance."
Abba,n.,"Father; religious superior; -- in the Syriac, Coptic, and Ethiopic churches, a title given to the bishops, and by the bishops to the patriarch."
A B C,,A primer for teaching the alphabet and first elements of reading.
Abdominous,a.,Having a protuberant belly; pot-bellied.
Aber-de-vine,n.,"The European siskin (Carduelis spinus), a small green and yellow finch, related to the goldfinch."
Abhominable,a.,Abominable.
Abiding,a.,Continuing; lasting.
Abjection,n.,The state of being rejected or cast out.
Ablaut,n.,"The substitution of one root vowel for another, thus indicating a corresponding modification of use or meaning; vowel permutation; as, get, gat, got; sing, song; hang, hung."
Ablutionary,a.,Pertaining to ablution.
Abode,v. i.,To be ominous.
Aboriginal,a.,"Of or pertaining to aborigines; as, a Hindoo of aboriginal blood."
Abortive,n.,A fruitless effort or issue.
Abovedeck,a.,"On deck; and hence, like aboveboard, without artifice."
Abreast,adv.,At the same time; simultaneously.
Abrood,adv.,In the act of brooding.
Absconder,n.,One who absconds.
Absinthium,n.,"The common wormwood (Artemisia absinthium), an intensely bitter plant, used as a tonic and for making the oil of wormwood."
Absolving,p. pr. & vb. n.,of Absolve
Absorptive,a.,"Having power, capacity, or tendency to absorb or imbibe."
Abstinently,adv.,With abstinence.
Abstraction,a.,The taking surreptitiously for one's own use part of the property of another; purloining.
Abusable,a.,That may be abused.
Abutment,n.,"A fixed point or surface from which resistance or reaction is obtained, as the cylinder head of a steam engine, the fulcrum of a lever, etc."
Academic,n.,One holding the philosophy of Socrates and Plato; a Platonist.
Acantha,n.,The vertebral column; the spinous process of a vertebra.
Acatalectic,a.,"Not defective; complete; as, an acatalectic verse."
Accendibility,n.,"Capacity of being kindled, or of becoming inflamed; inflammability."
Accentuate,v. t.,To mark with the written accent.
Acceptilation,n.,Gratuitous discharge; a release from debt or obligation without payment; free remission.
Accessoriness,n.,"The state of being accessory, or connected subordinately."
Accipitral,n.,"Pertaining to, or of the nature of, a falcon or hawk; hawklike."
Accloy,v. t.,To fill to satiety; to stuff full; to clog; to overload; to burden. See Cloy.
Accompanist,n.,The performer in music who takes the accompanying part.
Accord,v. t.,"An agreement between parties in controversy, by which satisfaction for an injury is stipulated, and which, when executed, bars a suit."
Accouchement,n.,Delivery in childbed
Accouplement,n.,"The act of coupling, or the state of being coupled; union."
Accrete,a.,Grown together.
Accumulation,n.,"The act of accumulating, the state of being accumulated, or that which is accumulated; as, an accumulation of earth, of sand, of evils, of wealth, of honors."
Accuse,v. t.,"to charge with an offense, judicially or by a public process; -- with of; as, to accuse one of a high crime or misdemeanor."
Acephali,n. pl.,Bishops and certain clergymen not under regular diocesan control.
Acescence,n.,Alt. of Acescency
Acetimetry,n.,"The act or method of ascertaining the strength of vinegar, or the proportion of acetic acid contained in it."
Acherontic,a.,"Of or pertaining to Acheron; infernal; hence, dismal, gloomy; moribund."
Achronic,a.,See Acronyc.
Acidness,n.,Acidity; sourness.
Acknowledgedly,adv.,Confessedly.
Aconitic,a.,Of or pertaining to aconite.
Acquaintable,a.,Easy to be acquainted with; affable.
Acquisitive,a.,"Able or disposed to make acquisitions; acquiring; as, an acquisitive person or disposition."
Acreable,a.,"Of an acre; per acre; as, the acreable produce."
Acrobatism,n.,Feats of the acrobat; daring gymnastic feats; high vaulting.
Acrosporous,a.,Having acrospores.
Act,v. t.,"To assume the office or character of; to play; to personate; as, to act the hero."
Actinosome,n.,The entire body of a coelenterate.
Active,a.,"Given to action rather than contemplation; practical; operative; -- opposed to speculative or theoretical; as, an active rather than a speculative statesman."
Actuaries,pl. ,of Actuary
Acuminate,v. i.,"To end in, or come to, a sharp point."
Adagio,a. & adv.,"Slow; slowly, leisurely, and gracefully. When repeated, adagio, adagio, it directs the movement to be very slow."
Adaptive,a.,"Suited, given, or tending, to adaptation; characterized by adaptation; capable of adapting."
Adder's-tongue,n.,The yellow dogtooth violet.
Addle,v. t. & i.,"To make addle; to grow addle; to muddle; as, he addled his brain."
Address,v. t.,Skill; skillful management; dexterity; adroitness.
Adenographic,a.,Pertaining to adenography.
Adhered,imp. & p. p.,of Adhere
Adhort,v. t.,To exhort; to advise.
Adipsous,a.,"Quenching thirst, as certain fruits."
Adjoint,n.,An adjunct; a helper.
Adjunct,n.,"Something joined or added to another thing, but not essentially a part of it."
Adjutancy,n.,Skillful arrangement in aid; assistance.
Administer,v. t.,"To tender, as an oath."
Admiralty,n.,The court which has jurisdiction of maritime questions and offenses.
Admit,v. t.,"To concede as true; to acknowledge or assent to, as an allegation which it is impossible to deny; to own or confess; as, the argument or fact is admitted; he admitted his guilt."
Admove,v. t.,To move or conduct to or toward.
Adopter,n.,One who adopts.
Adosculation,n.,"Impregnation by external contact, without intromission."
Adulatory,a.,"Containing excessive praise or compliment; servilely praising; flattering; as, an adulatory address."
Adultery,n.,The fine and penalty imposed for the offense of adultery.
Advance,v. t.,"To make earlier, as an event or date; to hasten."
Advantageously,adv.,Profitably; with advantage.
Adventurous,n.,"Full of hazard; attended with risk; exposing to danger; requiring courage; rash; -- applied to acts; as, an adventurous undertaking, deed, song."
Advertent,a.,Attentive; heedful; regardful.
Advisory,a.,"Having power to advise; containing advice; as, an advisory council; their opinion is merely advisory."
Adz,v. t.,To cut with an adz.
Aerate,v. t.,To expose to the chemical action of air; to oxygenate (the blood) by respiration; to arterialize.
Aerolith,n.,Same as A/rolite.
Aeruginous,a.,"Of the nature or color of verdigris, or the rust of copper."
Aethiops mineral,,Same as Ethiops mineral.
Affect,v. t.,To aim at; to aspire; to covet.
Affectional,a.,"Of or pertaining to the affections; as, affectional impulses; an affectional nature."
Affiliated,imp. & p. p.,of Affiliate
Affirmant,n.,One who affirms or asserts.
